# BEGIN VELOCITY DATASET
#BLOCK HEADER time:0
#x	y	u	v

0.95	0.85	-0.00185422	0.00119668
1.05	0.85	-0.00202043	0.0011013
1.15	0.85	-0.00217846	0.00100595
1.25	0.85	-0.00231198	0.000894248
1.35	0.85	-0.00242914	0.000785246
1.45	0.85	-0.00253541	0.000673562
1.55	0.85	-0.00261579	0.000557706
1.65	0.85	-0.00268664	0.000444636
1.75	0.85	-0.00273705	0.000328824
1.85	0.85	-0.00276293	0.000215769
1.95	0.85	-0.00277792	0.000108153
2.05	0.85	-0.00278064	-6.33299e-06
2.15	0.85	-0.00276974	-0.000112608
2.25	0.85	-0.00273704	-0.00021477
2.35	0.85	-0.00269345	-0.000315562
2.45	0.85	-0.00263895	-0.000420496
2.55	0.85	-0.00256947	-0.000511795
2.65	0.85	-0.00248773	-0.00060308
2.75	0.85	-0.00239236	-0.000706568
2.85	0.85	-0.00228337	-0.000795156
2.95	0.85	-0.00216075	-0.000886425
3.05	0.85	-0.00202588	-0.000968158
3.15	0.85	-0.00187874	-0.00105537
3.25	0.85	-0.00171389	-0.00113437
3.35	0.85	-0.00153269	-0.00120659
3.45	0.85	-0.00134468	-0.00126514
3.55	0.85	-0.0011485	-0.00131831
3.65	0.85	-0.000937325	-0.00136189
3.75	0.85	-0.000716618	-0.00138506
3.85	0.85	-0.000494548	-0.00140141
3.95	0.85	-0.000269753	-0.00139731
4.05	0.85	-4.63211e-05	-0.00137553
4.15	0.85	0.000174386	-0.00133327
4.25	0.85	0.000385557	-0.00128561
4.35	0.85	0.000583104	-0.00122021
4.45	0.85	0.00076839	-0.00114119
4.55	0.85	0.000940051	-0.0010567
4.65	0.85	0.00109128	-0.000953168
4.75	0.85	0.00122479	-0.000848264
4.85	0.85	0.00134332	-0.000737935
4.95	0.85	0.00144414	-0.000626206
5.05	0.85	0.00152043	-0.000514477
5.15	0.85	0.00157901	-0.000405475
5.25	0.85	0.00162125	-0.000300616
5.35	0.85	0.00164713	-0.00019975
5.45	0.85	0.00165939	-9.89881e-05
5.55	0.85	0.00166212	-7.7188e-06
5.65	0.85	0.00164849	8.36104e-05
5.75	0.85	0.0016158	0.00016807
5.85	0.85	0.00158174	0.000237554
5.95	0.85	0.0015395	0.000316561
6.05	0.85	0.00148637	0.000386044
6.15	0.85	0.00142642	0.000454202
6.25	0.85	0.00135286	0.000519559
6.35	0.85	0.00127247	0.000583604
6.45	0.85	0.00118119	0.00064078
6.55	0.85	0.00108583	0.00069803
6.65	0.85	0.000983647	0.000748456
6.75	0.85	0.000869206	0.000793397
6.85	0.85	0.000749315	0.000842452
6.95	0.85	0.000623975	0.000880614
7.05	0.85	0.000486374	0.000907838
7.15	0.85	0.000346048	0.000935107
7.25	0.85	0.000207084	0.000950083
7.35	0.85	6.53948e-05	0.000956878
7.45	0.85	0	0
0.05	0.95	0	0
0.15	0.95	-0.000117166	0.00186017
0.25	0.95	-0.000369208	0.00184655
0.35	0.95	-0.000622613	0.00181523
0.45	0.95	-0.000867844	0.00177704
0.55	0.95	-0.00110899	0.00171712
