#BLOCK HEADER time:0
#x	y	initial_phi	radius

#BLOCK HEADER time:0.5
#x	y	initial_phi	radius

#BLOCK HEADER time:1
#x	y	initial_phi	radius

#BLOCK HEADER time:1.5
#x	y	initial_phi	radius

#BLOCK HEADER time:0
#x	y	initial_phi	radius

1.91162	1.1928	-0.101809	0.05
1.91332	1.20237	-0.101926	0.05
1.9121	1.18202	-0.103645	0.05
1.89738	1.12101	-0.101964	0.05
1.90002	1.13636	-0.100838	0.05
1.90257	1.14275	-0.101824	0.05
1.91179	1.20042	-0.100873	0.05
1.90661	1.15992	-0.102196	0.05
1.91367	1.21359	-0.10134	0.05
1.91175	1.19838	-0.101095	0.05
1.90373	1.15278	-0.10066	0.05
1.90746	1.15748	-0.103502	0.05
1.9089	1.17616	-0.101492	0.05
0.265903	1.20799	-0.134328	0.05
0.245381	1.22242	-0.112418	0.05
0.279484	1.2388	-0.112673	0.05
0.196615	1.17307	-0.131801	0.05
0.246071	1.22779	-0.107539	0.05
0.224474	1.19096	-0.128972	0.05
0.196619	1.17489	-0.130289	0.05
0.234643	1.21826	-0.109792	0.05
0.204269	1.20658	-0.106949	0.05
0.277999	1.20533	-0.137439	0.05
0.220043	1.19399	-0.124435	0.05
0.262492	1.22642	-0.118815	0.05
0.211842	1.2132	-0.104147	0.05
0.224441	1.20479	-0.116784	0.05
0.279066	1.2286	-0.120755	0.05
0.248084	1.23094	-0.105555	0.05
0.382656	1.25475	-0.132361	0.05
0.352464	1.22999	-0.12806	0.05
0.378894	1.27353	-0.119694	0.05
0.322184	1.23024	-0.126772	0.05
0.385458	1.25981	-0.131784	0.05
0.301271	1.20647	-0.138042	0.05
0.345245	1.22794	-0.128878	0.05
0.362211	1.26	-0.118274	0.05
0.38426	1.25404	-0.133939	0.05
0.376494	1.25272	-0.128816	0.05
0.340411	1.22976	-0.128179	0.05
0.319203	1.22947	-0.126837	0.05
0.321869	1.22957	-0.127082	0.05
0.33999	1.23609	-0.125637	0.05
0.342266	1.25569	-0.117399	0.05
0.353428	1.23053	-0.12786	0.05
0.417059	1.28355	-0.142823	0.05
0.422925	1.29949	-0.138387	0.05
0.404024	1.28444	-0.132422	0.05
0.504181	1.35474	-0.145032	0.05
0.43531	1.32929	-0.129804	0.05
0.418663	1.28751	-0.141869	0.05
0.472852	1.32912	-0.156399	0.05
0.433029	1.33111	-0.126377	0.05
0.506918	1.34898	-0.146239	0.05
0.403031	1.27974	-0.134251	0.05
0.443674	1.33862	-0.129026	0.05
0.512429	1.35738	-0.143213	0.05
0.422905	1.28875	-0.144622	0.05
0.417223	1.2953	-0.136344	0.05
0.429199	1.3131	-0.135275	0.05
0.459014	1.34376	-0.138608	0.05
0.558298	1.30556	-0.100315	0.05
0.557777	1.31241	-0.101209	0.05
0.563137	1.35794	-0.109029	0.05
0.55775	1.31881	-0.102719	0.05
0.567295	1.25411	-0.100838	0.05
0.55817	1.39761	-0.123155	0.05
0.521503	1.34619	-0.145074	0.05
0.557237	1.30969	-0.102142	0.05
0.556081	1.30317	-0.104298	0.05
0.561015	1.40227	-0.12125	0.05
0.546336	1.36742	-0.1331	0.05
0.557973	1.29184	-0.102366	0.05
0.536177	1.35778	-0.138867	0.05
0.559671	1.3475	-0.109369	0.05
0.557178	1.31039	-0.102259	0.05
0.563189	1.26577	-0.101636	0.05
0.595279	1.23126	-0.0761149	0.05
0.585723	1.24483	-0.0806786	0.05
0.583402	1.19619	-0.0999629	0.05
0.572459	1.2406	-0.0998458	0.05
0.598316	1.24053	-0.0693364	0.05
0.572533	1.24024	-0.099896	0.05
0.610837	1.22546	-0.0639012	0.05
0.576948	1.22545	-0.100041	0.05
0.587125	1.17234	-0.0999551	0.05
0.585768	1.2371	-0.084207	0.05
0.561128	1.27941	-0.100058	0.05
0.570872	1.24529	-0.0999598	0.05
0.58493	1.18781	-0.0999889	0.05
0.60807	1.21099	-0.0695114	0.05
0.563933	1.26634	-0.10026	0.05
0.582222	1.20235	-0.0999677	0.05
0.666302	1.06786	-0.0230605	0.036028
0.709005	1.03716	-0.00996927	0.01
0.595156	1.14321	-0.0971577	0.05
0.605587	1.15589	-0.0778714	0.05
0.6252	1.16796	-0.0531488	0.05
0.625777	1.17794	-0.0526304	0.05
0.670288	1.08374	-0.0123311	0.0318195
0.624876	1.10633	-0.0611964	0.05
0.594432	1.16821	-0.0903626	0.05
0.668579	1.04829	-0.0345405	0.0358161
0.761523	1.01562	0.0099228	0.0248988
0.645052	1.12989	-0.0311178	0.05
0.632899	1.10706	-0.0492657	0.05
0.597679	1.17504	-0.0851129	0.05
0.598707	1.16794	-0.0848945	0.05
0.653651	1.11248	-0.023028	0.0459331
0.807999	0.976086	0.0383115	0.0397849
0.821762	0.918626	0.0267241	0.0137805
0.823765	0.961447	0.0436832	0.0437334
0.881395	0.940315	0.0676302	0.05
0.819368	0.91308	0.0241305	0.01
0.83396	0.944093	0.042067	0.0406683
0.83672	0.945627	0.044335	0.0438939
0.841455	0.928003	0.0394278	0.0340671
0.740532	0.970786	-0.0103927	0.0170789
0.781715	0.957266	0.0153131	0.01
0.809083	0.963915	0.0348127	0.0336897
0.780212	0.932449	0.00996722	0.01
0.737238	1.00313	-0.010057	0.01
0.801527	0.969885	0.0313611	0.0311742
0.815525	0.947529	0.0331636	0.0290733
0.670711	1.03916	-0.042755	0.0392606
0.969561	0.902928	0.0972465	0.05
0.900066	0.879058	0.0587756	0.0270826
0.939966	0.889019	0.0810069	0.05
0.923853	0.880327	0.0686538	0.0404419
0.967165	0.868433	0.0543425	0.0494793
0.97733	0.908395	0.103104	0.05
0.928607	0.912586	0.0916044	0.05
0.998146	0.906814	0.102595	0.05
0.93889	0.918461	0.100483	0.05
0.926833	0.876316	0.0637159	0.0384059
0.894198	0.876197	0.0537487	0.0216371
0.947468	0.910921	0.10105	0.05
0.902587	0.914445	0.0731373	0.05
0.882315	0.897975	0.0556686	0.0337111
0.826615	0.903229	0.0249846	0.01
0.956767	0.88268	0.0740011	0.05
1.09049	0.875053	0.100834	0.05
1.07584	0.886003	0.102155	0.05
1.04548	0.872577	0.0721233	0.05
1.10681	0.840228	0.0835323	0.05
1.00821	0.881689	0.0734656	0.05
1.07656	0.883014	0.099874	0.05
1.04816	0.901343	0.103938	0.05
1.05286	0.899339	0.103518	0.05
1.03722	0.901187	0.100414	0.05
1.0823	0.857682	0.0806206	0.05
1.09521	0.86065	0.0910285	0.05
0.983561	0.872412	0.0606078	0.05
1.08942	0.848453	0.0773198	0.05
1.0427	0.899345	0.100167	0.05
1.01717	0.908615	0.105056	0.05
