# CLEAR
#BLOCK HEADER time:0
#x	y	id	phi

2.85	0.35	-0.23566	1
2.95	0.35	-0.239318	1
3.05	0.35	-0.243847	1
3.15	0.35	-0.249222	1
3.25	0.35	-0.255412	1
3.35	0.35	-0.262385	1
3.45	0.35	-0.270106	1
3.55	0.35	-0.278539	1
3.65	0.35	-0.287647	1
3.75	0.35	-0.297393	1
3.85	0.35	-0.30774	1
3.95	0.35	-0.318652	1
4.05	0.35	-0.330094	1
4.15	0.35	-0.342033	1
4.25	0.35	-0.354437	1
4.35	0.35	-0.367274	1
4.45	0.35	-0.380517	1
4.55	0.35	-0.394138	1
4.65	0.35	-0.408112	1
4.75	0.35	-0.422415	1
4.85	0.35	-0.437024	1
4.95	0.35	-0.45192	1
0.05	0.45	-0.438905	1
0.15	0.45	-0.423699	1
0.25	0.45	-0.408769	1
0.35	0.45	-0.394138	1
0.45	0.45	-0.379828	1
0.55	0.45	-0.365862	1
0.65	0.45	-0.352268	1
0.75	0.45	-0.339073	1
0.85	0.45	-0.326308	1
0.95	0.45	-0.314004	1
1.05	0.45	-0.302195	1
1.15	0.45	-0.290918	1
1.25	0.45	-0.280208	1
1.35	0.45	-0.270106	1
1.45	0.45	-0.260652	1
1.55	0.45	-0.251885	1
1.65	0.45	-0.243847	1
1.75	0.45	-0.236578	1
1.85	0.45	-0.230116	1
1.95	0.45	-0.2245	1
2.05	0.45	-0.219762	1
2.15	0.45	-0.215933	1
2.25	0.45	-0.213038	1
2.35	0.45	-0.211096	1
2.45	0.45	-0.210122	1
2.55	0.45	-0.210122	1
2.65	0.45	-0.211096	1
2.75	0.45	-0.213038	1
2.85	0.45	-0.215933	1
2.95	0.45	-0.219762	1
3.05	0.45	-0.2245	1
3.15	0.45	-0.230116	1
3.25	0.45	-0.236578	1
3.35	0.45	-0.243847	1
3.45	0.45	-0.251885	1
3.55	0.45	-0.260652	1
3.65	0.45	-0.270106	1
3.75	0.45	-0.280208	1
3.85	0.45	-0.290918	1
3.95	0.45	-0.302195	1
4.05	0.45	-0.314004	1
4.15	0.45	-0.326308	1
4.25	0.45	-0.339073	1
4.35	0.45	-0.352268	1
4.45	0.45	-0.365862	1
4.55	0.45	-0.379828	1
4.65	0.45	-0.394138	1
4.75	0.45	-0.408769	1
4.85	0.45	-0.423699	1
4.95	0.45	-0.438905	1
0.05	0.55	-0.426259	1
0.15	0.55	-0.410737	1
0.25	0.55	-0.395483	1
0.35	0.55	-0.380517	1
0.45	0.55	-0.365862	1
0.55	0.55	-0.351543	1
0.65	0.55	-0.337587	1
0.75	0.55	-0.324023	1
0.85	0.55	-0.310882	1
0.95	0.55	-0.298197	1
1.05	0.55	-0.286004	1
1.15	0.55	-0.274342	1
1.25	0.55	-0.263249	1
1.35	0.55	-0.252769	1
1.45	0.55	-0.242945	1
1.55	0.55	-0.23382	1
1.65	0.55	-0.225441	1
1.75	0.55	-0.217852	1
1.85	0.55	-0.211096	1
1.95	0.55	-0.205216	1
2.05	0.55	-0.20025	1
2.15	0.55	-0.196232	1
2.25	0.55	-0.193192	1
2.35	0.55	-0.191152	1
2.45	0.55	-0.190128	1
2.55	0.55	-0.190128	1
2.65	0.55	-0.191152	1
2.75	0.55	-0.193192	1
2.85	0.55	-0.196232	1
2.95	0.55	-0.20025	1
3.05	0.55	-0.205216	1
3.15	0.55	-0.211096	1
3.25	0.55	-0.217852	1
3.35	0.55	-0.225441	1
3.45	0.55	-0.23382	1
3.55	0.55	-0.242945	1
3.65	0.55	-0.252769	1
3.75	0.55	-0.263249	1
3.85	0.55	-0.274342	1
3.95	0.55	-0.286004	1
4.05	0.55	-0.298197	1
4.15	0.55	-0.310882	1
4.25	0.55	-0.324023	1
4.35	0.55	-0.337587	1
4.45	0.55	-0.351543	1
4.55	0.55	-0.365862	1
4.65	0.55	-0.380517	1
4.75	0.55	-0.395483	1
4.85	0.55	-0.410737	1
4.95	0.55	-0.426259	1
0.05	0.65	-0.414003	1
0.15	0.65	-0.398164	1
0.25	0.65	-0.38258	1
0.35	0.65	-0.367274	1
0.45	0.65	-0.352268	1
0.55	0.65	-0.337587	1
0.65	0.65	-0.323259	1
0.75	0.65	-0.309313	1
0.85	0.65	-0.295782	1
0.95	0.65	-0.282701	1
1.05	0.65	-0.270106	1
1.15	0.65	-0.258039	1
1.25	0.65	-0.246542	1
1.35	0.65	-0.23566	1
1.45	0.65	-0.225441	1
1.55	0.65	-0.215933	1
1.65	0.65	-0.207185	1
1.75	0.65	-0.199249	1
1.85	0.65	-0.192173	1
1.95	0.65	-0.186005	1
2.05	0.65	-0.180789	1
2.15	0.65	-0.176563	1
2.25	0.65	-0.173363	1
2.35	0.65	-0.171214	1
2.45	0.65	-0.170135	1
2.55	0.65	-0.170135	1
2.65	0.65	-0.171214	1
2.75	0.65	-0.173363	1
2.85	0.65	-0.176563	1
2.95	0.65	-0.180789	1
3.05	0.65	-0.186005	1
3.15	0.65	-0.192173	1
3.25	0.65	-0.199249	1
3.35	0.65	-0.207185	1
